message_id,action,message_type,reason,confidence,evidence_message_ids
msg_035,mute,promotion,Unsolicited marketing message from an unverified business with no existing relationship to the user.,0.95,none
msg_101,digest,personal,Non-urgent personal message about food that explicitly states no immediate reply is needed.,0.95,none
msg_041,mute,spam,Unsolicited survey request from an unverified business with no established relationship.,0.9,message_0308;message_0354
msg_011,mute,greeting,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0077;message_0040
msg_110,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0086;message_0143
msg_095,mute,scam,Prompt injection attack detected: message attempts to manipulate the notification router.,0.98,message_0045;message_0173
msg_074,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0358;message_0203
msg_073,mute,scam,"The message uses classic phishing tactics, demanding immediate verification via a link to prevent account restriction, and has been forwarded multiple times.",1.0,message_0115;message_0143
msg_054,mute,spam,"High scam indicator score: phishing, credential theft, or social engineering patterns detected.",0.97,message_0182;message_0012
msg_068,digest,personal,The message explicitly states there is no urgency and concerns casual social planning within a group.,0.95,none
msg_100,notify,urgent,"The message indicates a critical technical failure and a client escalation deadline in 20 minutes, requiring immediate action.",0.95,message_0117;message_0249
msg_062,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0180;message_0015
msg_096,notify,urgent,"The message informs the user that their passport was found at their building reception and must be collected by 18h, making it highly time-sensitive and personally critical.",0.95,message_0086;message_0143
msg_043,mute,forward,Highly forwarded chain message or viral spam with no personal relevance.,0.94,message_0180;message_0015
msg_077,notify,event,The message contains time-sensitive instructions for a school field trip tomorrow with a deadline for the bus list this evening.,0.95,message_0403;message_0134
msg_081,digest,personal,Low urgency voice note in a group chat with low personal relevance score.,0.85,message_0403;message_0134
msg_025,notify,business_update,Legitimate order fulfillment or delivery status notification.,0.91,message_0239;message_0004
msg_084,digest,unknown,Unverified business account with no existing relationship sending a non-urgent voice note.,0.9,message_0243;message_0101
msg_022,mute,scam,"The message requests payment via an external link from an unverified sender in a group, which is a characteristic of phishing and social engineering.",0.95,message_0100;message_0140
